wall_time,session_ms,code,kind,delta_x,delta_y
2026-06-20T19:14:19.4057533+02:00,22849.423,MOVE,MouseMove,1,0
2026-06-20T19:14:19.4057723+02:00,22849.442,A,KeyUp,0,0
2026-06-20T19:14:19.7121126+02:00,23155.782,MOVE,MouseMove,0,-1
2026-06-20T19:14:19.7276001+02:00,23171.269,MOVE,MouseMove,-2,-1
2026-06-20T19:14:19.7926937+02:00,23236.363,MOVE,MouseMove,-2,0
2026-06-20T19:14:19.7927490+02:00,23236.418,MOVE,MouseMove,-1,-1
2026-06-20T19:14:19.7927651+02:00,23236.435,MOVE,MouseMove,-2,0
2026-06-20T19:14:19.7927767+02:00,23236.447,MOVE,MouseMove,-2,-1
2026-06-20T19:14:19.7927853+02:00,23236.455,MOVE,MouseMove,-2,0
2026-06-20T19:14:19.7927935+02:00,23236.463,MOVE,MouseMove,-1,-1
2026-06-20T19:14:19.7928127+02:00,23236.482,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.7958637+02:00,23239.533,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.8065944+02:00,23250.264,MOVE,MouseMove,0,-1
2026-06-20T19:14:19.8215924+02:00,23265.261,MOVE,MouseMove,-2,0
2026-06-20T19:14:19.8344481+02:00,23278.117,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.8501091+02:00,23293.778,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.8671032+02:00,23310.772,MOVE,MouseMove,-2,-1
2026-06-20T19:14:19.8743707+02:00,23318.04,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9664810+02:00,23410.15,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9665000+02:00,23410.17,MOVE,MouseMove,0,-1
2026-06-20T19:14:19.9665032+02:00,23410.173,MOVE,MouseMove,-2,0
2026-06-20T19:14:19.9665063+02:00,23410.176,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9665099+02:00,23410.179,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9665131+02:00,23410.183,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9665222+02:00,23410.192,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9770883+02:00,23420.758,MOVE,MouseMove,-2,-1
2026-06-20T19:14:19.9823784+02:00,23426.048,MOVE,MouseMove,-1,0
2026-06-20T19:14:19.9938404+02:00,23437.509,MOVE,MouseMove,-3,0
2026-06-20T19:14:20.0033570+02:00,23447.026,MOVE,MouseMove,-3,0
2026-06-20T19:14:20.0085837+02:00,23452.252,MOVE,MouseMove,-2,0
2026-06-20T19:14:20.0788621+02:00,23522.531,MOVE,MouseMove,-4,0
2026-06-20T19:14:20.0791658+02:00,23522.835,MOVE,MouseMove,-4,0
2026-06-20T19:14:20.0791750+02:00,23522.845,MOVE,MouseMove,-5,0
2026-06-20T19:14:20.0791781+02:00,23522.848,MOVE,MouseMove,-5,-1
2026-06-20T19:14:20.0791828+02:00,23522.853,MOVE,MouseMove,-4,0
2026-06-20T19:14:20.0792336+02:00,23522.903,MOVE,MouseMove,-4,0
2026-06-20T19:14:20.0792378+02:00,23522.908,MOVE,MouseMove,-3,0
2026-06-20T19:14:20.0792407+02:00,23522.911,MOVE,MouseMove,-4,0
2026-06-20T19:14:20.0805787+02:00,23524.248,MOVE,MouseMove,-3,0
2026-06-20T19:14:20.0893095+02:00,23532.979,MOVE,MouseMove,-4,-1
2026-06-20T19:14:20.0965940+02:00,23540.263,MOVE,MouseMove,-3,0
2026-06-20T19:14:20.5547618+02:00,23998.43,D,KeyDown,0,0
2026-06-20T19:14:21.0053501+02:00,24449.018,A,KeyDown,0,0
2026-06-20T19:14:21.0867358+02:00,24530.403,D,KeyUp,0,0
2026-06-20T19:14:21.1502847+02:00,24593.954,MOVE,MouseMove,1,-2
2026-06-20T19:14:21.1502997+02:00,24593.969,M1,MouseDown,0,0
2026-06-20T19:14:21.1967232+02:00,24640.392,A,KeyUp,0,0
2026-06-20T19:14:21.2580264+02:00,24701.696,M1,MouseUp,0,0
2026-06-20T19:14:21.3318185+02:00,24775.488,D,KeyDown,0,0
2026-06-20T19:14:21.3943178+02:00,24837.987,MOVE,MouseMove,-1,0
2026-06-20T19:14:21.3943363+02:00,24838.006,MOVE,MouseMove,-1,2
2026-06-20T19:14:21.3943397+02:00,24838.01,MOVE,MouseMove,-1,0
2026-06-20T19:14:21.8053832+02:00,25249.051,A,KeyDown,0,0
2026-06-20T19:14:21.8726006+02:00,25316.269,M1,MouseDown,0,0
2026-06-20T19:14:21.9615951+02:00,25405.264,MOVE,MouseMove,-1,0
2026-06-20T19:14:21.9616861+02:00,25405.355,A,KeyUp,0,0
2026-06-20T19:14:22.0108871+02:00,25454.556,MOVE,MouseMove,-4,1
2026-06-20T19:14:22.0109118+02:00,25454.582,MOVE,MouseMove,-2,0
2026-06-20T19:14:22.0109151+02:00,25454.585,MOVE,MouseMove,0,1
2026-06-20T19:14:22.0109183+02:00,25454.588,M1,MouseUp,0,0
2026-06-20T19:14:22.0697001+02:00,25513.37,MOVE,MouseMove,1,0
2026-06-20T19:14:22.0697219+02:00,25513.392,MOVE,MouseMove,1,-1
2026-06-20T19:14:22.3188794+02:00,25762.548,D,KeyUp,0,0
2026-06-20T19:14:23.0934135+02:00,26537.081,A,KeyDown,0,0
2026-06-20T19:14:23.4215500+02:00,26865.218,D,KeyDown,0,0
2026-06-20T19:14:23.5238605+02:00,26967.529,M1,MouseDown,0,0
2026-06-20T19:14:23.5912644+02:00,27034.934,M1,MouseUp,0,0
2026-06-20T19:14:23.6631057+02:00,27106.774,D,KeyUp,0,0
2026-06-20T19:14:24.0313080+02:00,27474.976,A,KeyUp,0,0
2026-06-20T19:14:24.6712635+02:00,28114.933,M1,MouseDown,0,0
2026-06-20T19:14:24.8458204+02:00,28289.49,M1,MouseUp,0,0
2026-06-20T19:14:25.0412006+02:00,28484.868,D,KeyDown,0,0
2026-06-20T19:14:25.4613771+02:00,28905.046,A,KeyDown,0,0
2026-06-20T19:14:25.5267148+02:00,28970.384,A,KeyUp,0,0
2026-06-20T19:14:25.5938445+02:00,29037.513,M1,MouseDown,0,0
2026-06-20T19:14:25.6923922+02:00,29136.061,M1,MouseUp,0,0
2026-06-20T19:14:25.8171972+02:00,29260.865,A,KeyDown,0,0
2026-06-20T19:14:25.9023290+02:00,29345.998,A,KeyUp,0,0
2026-06-20T19:14:25.9696569+02:00,29413.326,D,KeyUp,0,0
2026-06-20T19:14:27.6153238+02:00,31058.991,A,KeyDown,0,0
2026-06-20T19:14:27.7683941+02:00,31212.062,D,KeyDown,0,0
2026-06-20T19:14:27.8393436+02:00,31283.013,M1,MouseDown,0,0
2026-06-20T19:14:27.8905585+02:00,31334.228,A,KeyUp,0,0
2026-06-20T19:14:27.9690109+02:00,31412.68,MOVE,MouseMove,0,1
2026-06-20T19:14:27.9690303+02:00,31412.7,M1,MouseUp,0,0
2026-06-20T19:14:28.0310280+02:00,31474.697,D,KeyUp,0,0
2026-06-20T19:14:28.0789902+02:00,31522.659,MOVE,MouseMove,0,1
2026-06-20T19:14:28.0790487+02:00,31522.718,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.0790631+02:00,31522.733,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.0790996+02:00,31522.768,A,KeyDown,0,0
2026-06-20T19:14:28.1403474+02:00,31584.017,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.1403722+02:00,31584.042,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.1403918+02:00,31584.061,A,KeyUp,0,0
2026-06-20T19:14:28.2015789+02:00,31645.248,MOVE,MouseMove,0,1
2026-06-20T19:14:28.2015967+02:00,31645.267,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.2016005+02:00,31645.27,MOVE,MouseMove,0,1
2026-06-20T19:14:28.4506912+02:00,31894.36,MOVE,MouseMove,0,1
2026-06-20T19:14:28.4548420+02:00,31898.511,MOVE,MouseMove,0,6
2026-06-20T19:14:28.4641444+02:00,31907.814,MOVE,MouseMove,0,2
2026-06-20T19:14:28.4771080+02:00,31920.777,MOVE,MouseMove,0,1
2026-06-20T19:14:28.4793867+02:00,31923.056,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.4826054+02:00,31926.26,MOVE,MouseMove,0,1
2026-06-20T19:14:28.4935994+02:00,31937.266,MOVE,MouseMove,0,1
2026-06-20T19:14:28.4996990+02:00,31943.368,MOVE,MouseMove,-1,0
2026-06-20T19:14:28.5578703+02:00,32001.54,MOVE,MouseMove,0,1
2026-06-20T19:14:28.5578916+02:00,32001.561,MOVE,MouseMove,0,1
2026-06-20T19:14:28.5578950+02:00,32001.565,MOVE,MouseMove,2,3
2026-06-20T19:14:28.5579010+02:00,32001.571,MOVE,MouseMove,0,1
